NB_Thread;Run_ID;Eff
2;0;3.83239652529e-05
2;1;4.02533276084e-05
2;2;4.38699110903e-05
2;3;3.26257177658e-05
2;4;2.77818936139e-05
2;5;4.03269168728e-05
2;6;3.50172751891e-05
2;7;2.82762780878e-05
2;8;3.75450540649e-05
2;9;2.61378685439e-05
2;10;2.11029825549e-05
2;11;2.54582484725e-05
2;12;2.55015300918e-05
2;13;1.94876058827e-05
2;14;2.31939633845e-05
2;15;2.29287679609e-05
2;16;3.20266461696e-05
2;17;2.36086628053e-05
2;18;1.89174191596e-05
2;19;2.53498276212e-05
2;20;2.39815821449e-05
2;21;2.28547050219e-05
2;22;2.36712536296e-05
2;23;1.81703653455e-05
2;24;2.57962440669e-05
2;25;2.40292195309e-05
2;26;2.09696359671e-05
2;27;2.21108490566e-05
2;28;2.3377594913e-05
2;29;2.33150957473e-05
2;30;3.39643148266e-05
2;31;1.91121757301e-05
2;32;1.82242309375e-05
2;33;2.31096320947e-05
2;34;2.77983691623e-05
2;35;2.45788818247e-05
2;36;2.39173416672e-05
2;37;2.19336725741e-05
2;38;2.41873065015e-05
2;39;2.7660986944e-05
2;40;2.38868717753e-05
2;41;2.76977620208e-05
2;42;2.13116617413e-05
2;43;1.86353923371e-05
2;44;2.53858651503e-05
2;45;2.67570460221e-05
2;46;2.0190599257e-05
2;47;2.20822046873e-05
2;48;2.47770069376e-05
2;49;2.56375196554e-05
2;50;2.56305105598e-05
2;51;2.4077046549e-05
2;52;1.95883827831e-05
2;53;2.36205593348e-05
2;54;2.63010239865e-05
2;55;2.36354468675e-05
2;56;1.73106217975e-05
2;57;2.41748323878e-05
2;58;2.16188170183e-05
2;59;2.5269541779e-05
2;60;3.55585055945e-05
2;61;2.9667721519e-05
2;62;2.42954324587e-05
2;63;2.62641826586e-05
2;64;1.8126450116e-05
2;65;2.25347034433e-05
2;66;2.19889761933e-05
2;67;2.28784088829e-05
2;68;1.87481251875e-05
2;69;2.33325037332e-05
2;70;2.20354918322e-05
2;71;2.51660962352e-05
2;72;2.71621034333e-05
2;73;2.4986673774e-05
2;74;2.304430652e-05
2;75;2.64251990698e-05
2;76;2.26285300507e-05
2;77;2.11482066321e-05
2;78;2.25468975469e-05
2;79;2.29119569866e-05
2;80;2.20822046873e-05
2;81;2.31982678627e-05
2;82;1.99224353185e-05
2;83;1.95210827694e-05
2;84;2.32933722591e-05
2;85;4.17967008471e-05
2;86;4.41800188501e-05
2;87;3.84221311475e-05
2;88;4.19791783275e-05
2;89;4.1272287035e-05
2;90;4.03746770026e-05
2;91;3.77909906278e-05
2;92;2.80436733473e-05
2;93;3.74475733972e-05
2;94;3.15179021684e-05
2;95;2.55015300918e-05
2;96;1.73699569225e-05
2;97;2.44522691706e-05
2;98;2.6271542665e-05
2;99;2.22909112525e-05
4;0;2.05896886839e-05
4;1;2.01353092784e-05
4;2;1.8358954274e-05
4;3;3.55585055945e-05
4;4;2.56884504727e-05
4;5;2.05840377648e-05
